Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2005,10 - 14,Kvinne,Hedmark,49,8.151721843287307,6011,386981.78125,20832.630859375
ADHD-midler,2005,10 - 14,Kvinne,Hordaland,58,3.783924843423800,15328,451206.09375,19588.916015625
ADHD-midler,2005,10 - 14,Kvinne,Møre og Romsdal,64,7.763221737020864,8244,433172.8125,19283.50390625
ADHD-midler,2005,10 - 14,Kvinne,Nordland,109,13.520218308112131,8062,643550.1875,32334.6640625
ADHD-midler,2005,10 - 14,Kvinne,Nord-Trøndelag,34,7.443082311733800,4568,298798,13571.2958984375
ADHD-midler,2005,10 - 14,Kvinne,Oppland,25,4.288164665523156,5830,199640.375,10400.4580078125
ADHD-midler,2005,10 - 14,Kvinne,Oslo,93,7.233976353453640,12856,641280.5625,32994.734375
ADHD-midler,2005,10 - 14,Kvinne,Rogaland,102,7.079400333148251,14408,607861.125,31804.474609375
ADHD-midler,2005,10 - 14,Kvinne,Sogn og Fjordane,35,9.215376513954713,3798,304475.25,13985.025390625
ADHD-midler,2005,10 - 14,Kvinne,Sør-Trøndelag,40,4.414036636504083,9062,257624.6875,10779.81640625
ADHD-midler,2005,10 - 14,Kvinne,Telemark,53,9.864135492276196,5373,466143.3125,20843.43359375
ADHD-midler,2005,10 - 14,Kvinne,Troms,35,6.809338521400778,5140,225607.625,10768.4912109375
ADHD-midler,2005,10 - 14,Kvinne,Vest-Agder,28,4.852686308492201,5770,206294.90625,11095.9375
ADHD-midler,2005,10 - 14,Kvinne,Vestfold,62,8.465319497542327,7324,539689.6875,24241.173828125
ADHD-midler,2005,10 - 14,Kvinne,Østfold,84,10.171954468394284,8258,634569.375,36264.1328125
ADHD-midler,2005,10 - 14,Mann,Akershus,501,26.680157631270636,18778,4131143,199970.734375
ADHD-midler,2005,10 - 14,Mann,Aust-Agder,146,39.006144803633449,3743,1004289.625,48539.7734375
ADHD-midler,2005,10 - 14,Mann,Buskerud,348,43.037348503586446,8086,3430943,151149.84375
ADHD-midler,2005,10 - 14,Mann,Finnmark,96,34.883720930232558,2752,794401.375,37190.0859375
ADHD-midler,2005,10 - 14,Mann,Hedmark,215,34.499358151476252,6232,2149092.25,115439.4453125
ADHD-midler,2005,10 - 14,Mann,Hordaland,277,16.985528574932548,16308,2406078.5,104435.1171875
ADHD-midler,2005,10 - 14,Mann,Møre og Romsdal,291,33.310439560439560,8736,2257444.25,95895.65625
ADHD-midler,2005,10 - 14,Mann,Nordland,329,37.803056417327358,8703,2269211.5,115621.40625
ADHD-midler,2005,10 - 14,Mann,Nord-Trøndelag,130,27.472527472527473,4732,1024793.1875,54851.6328125
ADHD-midler,2005,10 - 14,Mann,Oppland,153,25.020441537203598,6115,1196087.625,71736.4453125
