year,age,gender,geography,befolkning
2004,15,F,Rogaland,13260
2004,15,F,Sogn og Fjordane,3610
2004,15,F,Sør-Trøndelag,8353
2004,15,F,Telemark,5223
2004,15,F,Troms,4704
2004,15,F,Vest-Agder,5278
2004,15,F,Vestfold,7112
2004,15,F,Østfold,7570
2004,15,M,Hele landet,148016
2004,15,M,Helseregion Midt-Norge,21539
2004,15,M,Helseregion Nord-Norge,15656
2004,15,M,Helseregion Sør-Øst,78002
2004,15,M,Helseregion Vest,32819
2004,15,M,Akershus,16231
2004,15,M,Aust-Agder,3561
2004,15,M,Buskerud,7704
2004,15,M,Finnmark,2443
2004,15,M,Hedmark,5856
2004,15,M,Hordaland,14982
2004,15,M,Møre og Romsdal,8527
2004,15,M,Nordland,8217
2004,15,M,Nord-Trøndelag,4546
2004,15,M,Oppland,5681
2004,15,M,Oslo,12453
2004,15,M,Rogaland,13901
2004,15,M,Sogn og Fjordane,3936
2004,15,M,Sør-Trøndelag,8466
2004,15,M,Telemark,5486
2004,15,M,Troms,4996
2004,15,M,Vest-Agder,5707
2004,15,M,Vestfold,7268
2004,15,M,Østfold,8053
2004,20,F,Hele landet,134208
2004,20,F,Helseregion Midt-Norge,19528
2004,20,F,Helseregion Nord-Norge,13306
2004,20,F,Helseregion Sør-Øst,71685
2004,20,F,Helseregion Vest,29690
2004,20,F,Akershus,12702
2004,20,F,Aust-Agder,3216
2004,20,F,Buskerud,6737
2004,20,F,Finnmark,1998
2004,20,F,Hedmark,4854
2004,20,F,Hordaland,13778
2004,20,F,Møre og Romsdal,7574
2004,20,F,Nordland,6868
2004,20,F,Nord-Trøndelag,3796
2004,20,F,Oppland,4970
2004,20,F,Oslo,15942
2004,20,F,Rogaland,12603
2004,20,F,Sogn og Fjordane,3308
2004,20,F,Sør-Trøndelag,8158
2004,20,F,Telemark,4739
2004,20,F,Troms,4440
2004,20,F,Vest-Agder,5148
2004,20,F,Vestfold,6216
2004,20,F,Østfold,7160
2004,20,M,Hele landet,138758
2004,20,M,Helseregion Midt-Norge,20352
2004,20,M,Helseregion Nord-Norge,14440
2004,20,M,Helseregion Sør-Øst,73062
2004,20,M,Helseregion Vest,30904
2004,20,M,Akershus,13298
2004,20,M,Aust-Agder,3460
2004,20,M,Buskerud,6968
2004,20,M,Finnmark,2108
2004,20,M,Hedmark,5250
2004,20,M,Hordaland,14400
2004,20,M,Møre og Romsdal,8056
2004,20,M,Nordland,7402
2004,20,M,Nord-Trøndelag,3898
2004,20,M,Oppland,5242
2004,20,M,Oslo,14393
2004,20,M,Rogaland,12990
2004,20,M,Sogn og Fjordane,3514
2004,20,M,Sør-Trøndelag,8398
2004,20,M,Telemark,5052
2004,20,M,Troms,4930
2004,20,M,Vest-Agder,5614
2004,20,M,Vestfold,6538
2004,20,M,Østfold,7248
2004,25,F,Hele landet,143504
2004,25,F,Helseregion Midt-Norge,18606
2004,25,F,Helseregion Nord-Norge,12860
2004,25,F,Helseregion Sør-Øst,81700
2004,25,F,Helseregion Vest,30337
2004,25,F,Akershus,13041
2004,25,F,Aust-Agder,2934
2004,25,F,Buskerud,6916
2004,25,F,Finnmark,2104
2004,25,F,Hedmark,4686
2004,25,F,Hordaland,14693
2004,25,F,Møre og Romsdal,6580
2004,25,F,Nordland,6161
2004,25,F,Nord-Trøndelag,3176
2004,25,F,Oppland,4636
2004,25,F,Oslo,26602
2004,25,F,Rogaland,12815
2004,25,F,Sogn og Fjordane,2829
2004,25,F,Sør-Trøndelag,8850
2004,25,F,Telemark,4606
2004,25,F,Troms,4596
2004,25,F,Vest-Agder,4948
2004,25,F,Vestfold,6101
2004,25,F,Østfold,7231
2004,25,M,Hele landet,145511
2004,25,M,Helseregion Midt-Norge,19883
2004,25,M,Helseregion Nord-Norge,13764
2004,25,M,Helseregion Sør-Øst,80498
2004,25,M,Helseregion Vest,31365
2004,25,M,Akershus,12666
2004,25,M,Aust-Agder,3178
2004,25,M,Buskerud,6990
2004,25,M,Finnmark,2277
2004,25,M,Hedmark,5042
2004,25,M,Hordaland,15029
2004,25,M,Møre og Romsdal,7101
2004,25,M,Nordland,6712
2004,25,M,Nord-Trøndelag,3342
2004,25,M,Oppland,4997
2004,25,M,Oslo,24104
2004,25,M,Rogaland,13338
2004,25,M,Sogn og Fjordane,2998
2004,25,M,Sør-Trøndelag,9440
2004,25,M,Telemark,4829
2004,25,M,Troms,4776
2004,25,M,Vest-Agder,5091
2004,25,M,Vestfold,6130
2004,25,M,Østfold,7472
2004,30,F,Hele landet,168339
2004,30,F,Helseregion Midt-Norge,21472
2004,30,F,Helseregion Nord-Norge,15962
2004,30,F,Helseregion Sør-Øst,97156
2004,30,F,Helseregion Vest,33749
2004,30,F,Akershus,17860
2004,30,F,Aust-Agder,3390
2004,30,F,Buskerud,8638
2004,30,F,Finnmark,2818
2004,30,F,Hedmark,5892
2004,30,F,Hordaland,16171
2004,30,F,Møre og Romsdal,7550
2004,30,F,Nordland,7526
2004,30,F,Nord-Trøndelag,3937
2004,30,F,Oppland,5886
2004,30,F,Oslo,28258
2004,30,F,Rogaland,14330
2004,30,F,Sogn og Fjordane,3248
2004,30,F,Sør-Trøndelag,9986
2004,30,F,Telemark,5432
2004,30,F,Troms,5618
2004,30,F,Vest-Agder,5508
2004,30,F,Vestfold,7348
2004,30,F,Østfold,8944
2004,30,M,Hele landet,172280
2004,30,M,Helseregion Midt-Norge,22656
2004,30,M,Helseregion Nord-Norge,16298
2004,30,M,Helseregion Sør-Øst,98112
2004,30,M,Helseregion Vest,35213
2004,30,M,Akershus,16752
2004,30,M,Aust-Agder,3524
2004,30,M,Buskerud,8810
2004,30,M,Finnmark,2890
2004,30,M,Hedmark,5850
2004,30,M,Hordaland,17024
2004,30,M,Møre og Romsdal,8113
2004,30,M,Nordland,7472
2004,30,M,Nord-Trøndelag,4023
2004,30,M,Oppland,6111
2004,30,M,Oslo,29526
2004,30,M,Rogaland,14813
2004,30,M,Sogn og Fjordane,3376
2004,30,M,Sør-Trøndelag,10520
2004,30,M,Telemark,5666
2004,30,M,Troms,5937
2004,30,M,Vest-Agder,5690
2004,30,M,Vestfold,7226
2004,30,M,Østfold,8957
2004,35,F,Hele landet,173795
2004,35,F,Helseregion Midt-Norge,23130
2004,35,F,Helseregion Nord-Norge,16920
2004,35,F,Helseregion Sør-Øst,98815
2004,35,F,Helseregion Vest,34930
2004,35,F,Akershus,21244
2004,35,F,Aust-Agder,3622
2004,35,F,Buskerud,9298
2004,35,F,Finnmark,2795
2004,35,F,Hedmark,6490
2004,35,F,Hordaland,16566
2004,35,F,Møre og Romsdal,8224
2004,35,F,Nordland,8411
2004,35,F,Nord-Trøndelag,4498
2004,35,F,Oppland,6484
2004,35,F,Oslo,22050
2004,35,F,Rogaland,14920
2004,35,F,Sogn og Fjordane,3444
2004,35,F,Sør-Trøndelag,10408
2004,35,F,Telemark,5943
2004,35,F,Troms,5714
2004,35,F,Vest-Agder,5763
2004,35,F,Vestfold,8226
2004,35,F,Østfold,9696
2004,35,M,Hele landet,181031
2004,35,M,Helseregion Midt-Norge,24236
2004,35,M,Helseregion Nord-Norge,18080
2004,35,M,Helseregion Sør-Øst,102134
2004,35,M,Helseregion Vest,36581
2004,35,M,Akershus,20419
2004,35,M,Aust-Agder,3746
2004,35,M,Buskerud,9532
2004,35,M,Finnmark,3050
2004,35,M,Hedmark,6868
2004,35,M,Hordaland,17239
2004,35,M,Møre og Romsdal,8818
2004,35,M,Nordland,8923
2004,35,M,Nord-Trøndelag,4600
2004,35,M,Oppland,6810
2004,35,M,Oslo,24386
2004,35,M,Rogaland,15546
2004,35,M,Sogn og Fjordane,3796
2004,35,M,Sør-Trøndelag,10818
2004,35,M,Telemark,6050
2004,35,M,Troms,6106
2004,35,M,Vest-Agder,6050
2004,35,M,Vestfold,8284
2004,35,M,Østfold,9990
2004,40,F,Hele landet,160926
2004,40,F,Helseregion Midt-Norge,21388
2004,40,F,Helseregion Nord-Norge,15900
2004,40,F,Helseregion Sør-Øst,91488
2004,40,F,Helseregion Vest,32150
2004,40,F,Akershus,19936
2004,40,F,Aust-Agder,3522
2004,40,F,Buskerud,8652
2004,40,F,Finnmark,2516
2004,40,F,Hedmark,6370
2004,40,F,Hordaland,15000
2004,40,F,Møre og Romsdal,7816
2004,40,F,Nordland,8064
2004,40,F,Nord-Trøndelag,4195
2004,40,F,Oppland,6358
2004,40,F,Oslo,18570
2004,40,F,Rogaland,13702
2004,40,F,Sogn og Fjordane,3448
2004,40,F,Sør-Trøndelag,9378
2004,40,F,Telemark,5644
2004,40,F,Troms,5321
2004,40,F,Vest-Agder,5558
2004,40,F,Vestfold,7968
2004,40,F,Østfold,8911
2004,40,M,Hele landet,167661
2004,40,M,Helseregion Midt-Norge,22596
2004,40,M,Helseregion Nord-Norge,16571
2004,40,M,Helseregion Sør-Øst,94220
2004,40,M,Helseregion Vest,34274
2004,40,M,Akershus,19996
2004,40,M,Aust-Agder,3462
2004,40,M,Buskerud,8952
2004,40,M,Finnmark,2706
2004,40,M,Hedmark,6476
2004,40,M,Hordaland,16029
2004,40,M,Møre og Romsdal,8394
2004,40,M,Nordland,8348
2004,40,M,Nord-Trøndelag,4494
2004,40,M,Oppland,6443
2004,40,M,Oslo,20080
2004,40,M,Rogaland,14378
2004,40,M,Sogn og Fjordane,3866
2004,40,M,Sør-Trøndelag,9709
2004,40,M,Telemark,5662
2004,40,M,Troms,5516
2004,40,M,Vest-Agder,5852
2004,40,M,Vestfold,7997
2004,40,M,Østfold,9301
2004,45,F,Hele landet,156474
2004,45,F,Helseregion Midt-Norge,21713
2004,45,F,Helseregion Nord-Norge,15584
2004,45,F,Helseregion Sør-Øst,88010
2004,45,F,Helseregion Vest,31166
2004,45,F,Akershus,17651
2004,45,F,Aust-Agder,3653
2004,45,F,Buskerud,8468
2004,45,F,Finnmark,2384
2004,45,F,Hedmark,6682
2004,45,F,Hordaland,14572
2004,45,F,Møre og Romsdal,8415
2004,45,F,Nordland,8034
2004,45,F,Nord-Trøndelag,4212
2004,45,F,Oppland,6379
2004,45,F,Oslo,16985
2004,45,F,Rogaland,13038
2004,45,F,Sogn og Fjordane,3557
2004,45,F,Sør-Trøndelag,9086
2004,45,F,Telemark,5880
2004,45,F,Troms,5166
2004,45,F,Vest-Agder,5292
2004,45,F,Vestfold,7954
2004,45,F,Østfold,9067
2004,45,M,Hele landet,161304
2004,45,M,Helseregion Midt-Norge,22803
2004,45,M,Helseregion Nord-Norge,16258
