drug,,,,ADHD-midler,ADHD-midler,Antibiotika,Antibiotika,Antidepressiva,Antidepressiva,Astma- og KOLS-midler,Astma- og KOLS-midler,Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Demensmidler,Demensmidler,Hormontilskudd ved overgangsalder,Hormontilskudd ved overgangsalder,Kolesterolsenkende midler,Kolesterolsenkende midler,Potensmidler,Potensmidler,Prevensjonsmidler unntatt spiraler og vaginalringer,Prevensjonsmidler unntatt spiraler og vaginalringer,Smertestillende midler,Smertestillende midler,Sovemidler og beroligende midler,Sovemidler og beroligende midler
,,,,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000
geography,year,age,gender,,,,,,,,,,,,,,,,,,,,,,,,
Helseregion Nord-Norge,2014,10.000,M,254756.641,50.017,14825.343,68.558,5285.000,1.453,152560.531,74.991,2257.167,1.176,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,7594.432,21.377,91086.906,21.100
Helseregion Nord-Norge,2014,15.000,F,98744.930,20.240,93363.969,261.892,112625.844,29.715,140529.297,65.231,12534.583,6.446,0.000,0.000,8071.815,1.934,3251.333,1.031,0.000,0.000,2405478.500,486.142,67376.289,133.492,65734.062,36.805
Helseregion Nord-Norge,2014,15.000,M,208256.578,32.604,67650.867,136.899,29415.465,8.032,144641.266,53.903,5571.833,2.856,0.000,0.000,,,1225.000,0.476,,,,,34371.906,70.145,68615.289,22.965
Helseregion Nord-Norge,2014,20.000,F,75012.438,14.092,109631.234,329.440,237893.266,56.938,161650.391,61.572,23133.854,10.918,0.000,0.000,4790.298,2.539,7815.905,1.396,,,3100192.250,590.771,125277.266,197.918,58830.730,56.303
Helseregion Nord-Norge,2014,20.000,M,92541.188,12.844,61429.895,160.460,119392.711,25.967,137305.797,42.569,23559.666,6.450,,,,,3016.000,0.785,1161.000,3.309,,,84846.812,131.744,64485.473,37.409
Helseregion Nord-Norge,2014,25.000,F,81526.078,12.445,87033.680,288.573,255476.656,60.919,132083.203,58.856,44240.168,16.983,0.000,0.000,15960.169,4.950,4986.275,1.650,,,1688183.000,394.321,173253.203,219.334,91843.461,72.126
Helseregion Nord-Norge,2014,25.000,M,73869.172,10.144,49326.984,153.856,159968.094,36.038,134497.859,47.190,58746.973,10.900,0.000,0.000,,,15515.321,3.339,4046.000,6.804,,,117330.508,164.882,95958.367,49.458
Helseregion Nord-Norge,2014,30.000,F,73901.953,9.831,71961.906,266.031,244004.469,65.487,150356.172,60.194,83263.258,25.711,0.000,0.000,28387.725,7.864,12069.921,3.554,,,885087.188,244.102,231524.391,237.145,114025.109,75.166
Helseregion Nord-Norge,2014,30.000,M,94641.023,10.306,36828.246,145.733,198160.766,41.638,136363.859,47.822,121894.375,19.514,0.000,0.000,,,50323.355,7.283,9450.333,9.963,0.000,0.000,174832.844,192.799,137189.250,63.350
Helseregion Nord-Norge,2014,35.000,F,49028.793,7.146,67511.789,243.268,322472.406,79.133,191815.062,71.461,195298.391,47.841,0.000,0.000,37777.211,11.584,23890.904,7.071,,,603458.625,157.891,346063.781,275.387,162244.344,95.306
Helseregion Nord-Norge,2014,35.000,M,72243.898,8.308,36813.828,140.321,205260.312,46.868,145491.922,50.703,249884.422,37.069,0.000,0.000,0.000,0.000,88288.461,15.978,11685.000,14.842,0.000,0.000,236593.500,216.589,161640.422,65.616
Helseregion Nord-Norge,2014,40.000,F,54721.754,5.638,86200.430,237.147,425789.250,87.076,329688.188,80.091,482693.719,79.662,0.000,0.000,66825.289,20.161,91726.922,18.629,0.000,0.000,492304.625,98.719,605047.250,328.513,302316.625,117.287
Helseregion Nord-Norge,2014,40.000,M,85248.742,7.356,47382.883,142.798,262528.906,47.935,245666.781,61.106,726241.625,76.115,0.000,0.000,,,288671.562,44.079,21359.000,22.959,,,402293.531,249.763,203911.734,76.709
Helseregion Nord-Norge,2014,45.000,F,40973.188,4.344,102085.430,233.858,489153.812,93.332,424761.719,90.690,907943.625,123.621,,,169383.031,53.064,250410.906,43.731,0.000,0.000,257647.984,48.192,832095.125,366.166,402696.656,136.828
Helseregion Nord-Norge,2014,45.000,M,48134.824,4.099,57732.062,148.330,302582.625,51.320,289618.750,60.338,1292723.250,128.382,0.000,0.000,,,627158.875,84.495,32419.000,32.683,0.000,0.000,551354.438,281.139,274904.312,83.948
Helseregion Nord-Norge,2014,50.000,F,24499.631,3.038,105974.977,242.564,504581.500,103.721,468720.594,100.873,1432487.125,188.900,0.000,0.000,372698.000,139.856,478714.781,86.571,,,70195.141,14.049,779467.312,382.863,468118.062,170.991
Helseregion Nord-Norge,2014,50.000,M,39810.656,3.633,51453.426,150.581,271650.531,51.163,316807.688,67.147,2062665.625,209.857,,,0.000,0.000,973561.062,137.745,45022.000,42.080,0.000,0.000,535910.250,293.049,288878.344,92.759
Helseregion Nord-Norge,2014,55.000,F,13516.833,1.577,119742.766,264.656,512936.656,106.401,577942.938,112.710,1983572.625,257.558,2852.646,0.460,392892.438,201.301,798491.438,147.476,,,2650.675,0.657,781664.125,384.004,579755.312,203.404
Helseregion Nord-Norge,2014,55.000,M,11695.333,1.266,64290.422,168.313,274055.406,52.558,406572.219,76.684,3058306.000,306.801,,,0.000,0.000,1399543.125,200.165,48450.984,62.247,0.000,0.000,558686.000,302.685,314940.469,106.636
Helseregion Nord-Norge,2014,60.000,F,2034.667,0.349,126617.086,276.799,481393.656,107.966,681121.625,127.883,2689364.000,347.659,9050.204,1.887,272468.000,204.193,1184918.250,227.324,,,,,726470.562,374.423,588093.875,233.124
Helseregion Nord-Norge,2014,60.000,M,8105.667,0.975,70616.133,189.328,264743.969,54.140,555191.812,94.631,4085135.500,411.543,5028.968,1.170,0.000,0.000,1919456.250,280.840,54496.348,78.708,0.000,0.000,567386.562,312.297,354663.906,123.294
Helseregion Nord-Norge,2014,65.000,F,,,156625.266,286.865,492086.750,106.550,955931.000,157.093,3936078.250,471.206,19023.350,4.673,215825.188,184.413,1587459.250,312.316,2694.332,0.503,0.000,0.000,771573.875,379.970,634846.750,258.969
Helseregion Nord-Norge,2014,65.000,M,,,87458.500,204.949,243391.656,51.203,743104.250,117.309,5163229.000,521.534,10842.762,2.256,,,2335893.250,366.147,68417.664,96.049,0.000,0.000,539063.375,300.451,332121.344,129.273
Helseregion Nord-Norge,2014,70.000,F,0.000,0.000,137330.359,303.183,326966.094,106.172,750052.500,164.693,3872330.250,584.530,27983.586,9.802,111913.859,154.309,1460884.000,378.882,3608.000,0.582,0.000,0.000,561255.750,377.329,478344.844,272.321
Helseregion Nord-Norge,2014,70.000,M,,,69037.062,216.546,157905.156,48.283,591290.375,126.754,4399634.500,611.030,23174.590,7.450,,,1878197.000,442.380,39328.711,94.243,0.000,0.000,357012.875,292.211,248812.469,143.590
Helseregion Nord-Norge,2014,75.000,F,,,146066.219,343.758,281862.469,121.803,642210.188,170.803,3438907.250,657.635,43225.387,20.385,69011.930,132.565,1181218.500,420.486,,,0.000,0.000,511740.812,427.323,477250.844,341.605
Helseregion Nord-Norge,2014,75.000,M,0.000,0.000,60093.559,246.957,116371.836,57.600,538256.500,153.269,3348021.250,677.753,34880.895,17.690,0.000,0.000,1269112.000,467.450,16287.992,65.667,0.000,0.000,267825.125,319.983,224284.438,192.188
Helseregion Nord-Norge,2014,80.000,F,0.000,0.000,127506.359,345.707,262820.344,141.310,470856.375,156.763,3036805.000,708.141,58570.664,31.225,47793.699,102.756,804756.312,389.836,0.000,0.000,0.000,0.000,433975.844,442.568,464831.375,387.606
Helseregion Nord-Norge,2014,80.000,M,,,49255.305,274.008,94727.742,74.904,372544.000,164.106,2333832.500,728.767,35354.316,28.169,0.000,0.000,739372.000,458.387,5423.956,38.412,0.000,0.000,192584.312,341.229,187997.750,244.131
Helseregion Nord-Norge,2014,85.000,F,0.000,0.000,110453.430,353.066,189937.344,148.837,270797.906,124.313,2250261.750,690.275,47028.461,34.884,34662.098,84.355,402355.250,278.436,0.000,0.000,0.000,0.000,361425.062,451.374,377054.156,391.966
Helseregion Nord-Norge,2014,85.000,M,0.000,0.000,32372.748,314.501,61751.688,88.512,211278.328,161.582,1243462.125,734.840,19149.852,27.119,0.000,0.000,347452.250,397.740,3061.488,13.183,0.000,0.000,113936.227,343.879,132099.750,285.499
Helseregion Nord-Norge,2014,90.000,F,0.000,0.000,72364.703,317.267,88148.164,110.738,105471.062,70.470,1245541.750,607.383,16135.364,20.134,20937.119,58.877,104881.656,122.331,0.000,0.000,0.000,0.000,222838.250,402.379,247120.031,359.060
Helseregion Nord-Norge,2014,90.000,M,0.000,0.000,18812.256,299.828,18274.738,73.883,63019.531,128.866,429116.969,650.344,5306.888,23.196,0.000,0.000,71141.445,213.918,,,0.000,0.000,56795.832,343.643,70988.883,325.601
Helseregion Nord-Norge,2015,,F,686488.250,6.634,1748961.375,246.113,5314466.000,75.805,6827284.000,97.471,25547784.000,187.904,222246.859,3.302,1875536.750,69.665,8442320.000,100.246,11929.876,0.152,10151961.000,131.696,7918559.000,273.328,5453563.000,139.504
Helseregion Nord-Norge,2015,,M,1103647.250,10.326,887902.438,154.741,2841730.250,37.495,5581816.000,79.750,28999822.000,183.513,133006.906,2.028,5245.675,0.065,12475960.000,120.848,397152.938,32.224,421.000,0.025,4892962.500,202.889,3181854.750,78.094
Helseregion Nord-Norge,2015,0.000,F,0.000,0.000,12733.384,167.107,0.000,0.000,72357.336,98.749,961.792,1.586,0.000,0.000,1275.000,1.233,0.000,0.000,,,0.000,0.000,227.942,5.462,1982.833,5.374
Helseregion Nord-Norge,2015,0.000,M,,,13556.475,164.457,0.000,0.000,122939.688,137.433,811.167,0.855,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,385.981,10.006,1927.650,6.500
Helseregion Nord-Norge,2015,5.000,F,12897.775,3.979,15736.598,120.183,,,92008.570,62.707,1853.542,0.884,0.000,0.000,,,0.000,0.000,,,0.000,0.000,906.180,7.737,14570.700,6.484
Helseregion Nord-Norge,2015,5.000,M,47900.652,12.315,11552.366,91.666,,,130111.109,83.619,1305.625,0.630,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,1644.993,9.447,29507.600,9.447
Helseregion Nord-Norge,2015,10.000,F,76181.219,16.229,20121.727,88.484,7364.050,2.001,100433.969,56.618,3603.167,2.075,0.000,0.000,,,,,,,25615.641,10.449,11130.147,30.087,41573.320,12.005
Helseregion Nord-Norge,2015,10.000,M,250545.719,49.902,15633.352,72.127,5401.916,1.747,153771.969,78.977,3984.208,1.677,0.000,0.000,0.000,0.000,714.952,0.419,0.000,0.000,0.000,0.000,7105.836,18.801,80068.031,18.381
Helseregion Nord-Norge,2015,15.000,F,94340.008,21.307,93082.117,256.863,113370.289,29.673,141785.391,67.059,13692.083,7.974,0.000,0.000,8318.901,2.157,2972.000,0.980,0.000,0.000,2671616.500,487.124,68711.617,130.327,62922.969,37.908
Helseregion Nord-Norge,2015,15.000,M,198988.109,32.147,62263.379,130.952,34435.750,10.008,132014.703,50.039,6318.542,2.911,0.000,0.000,0.000,0.000,1764.286,0.607,90.000,0.485,0.000,0.000,36229.504,70.177,48989.855,21.168
Helseregion Nord-Norge,2015,20.000,F,79875.219,13.181,106295.672,316.547,235238.750,57.205,154805.766,63.156,23035.125,11.454,0.000,0.000,6394.800,2.560,4607.810,1.280,0.000,0.000,3199834.000,598.541,125868.750,199.002,66356.375,57.653
Helseregion Nord-Norge,2015,20.000,M,109393.078,14.916,62183.363,157.542,128717.656,27.933,142022.469,43.296,29917.709,6.145,,,1440.000,0.279,5395.952,1.173,1266.000,3.687,,,89023.016,131.620,63910.219,36.034
Helseregion Nord-Norge,2015,25.000,F,97902.180,13.648,89114.820,281.900,287571.156,68.703,132758.875,58.368,54494.223,19.213,0.000,0.000,13020.796,4.439,5959.333,1.656,,,1820029.625,398.768,188651.500,219.491,98459.984,74.665
Helseregion Nord-Norge,2015,25.000,M,78960.391,11.314,49086.996,147.260,177150.609,37.794,129498.633,44.765,65448.676,10.029,0.000,0.000,,,19648.914,3.730,3640.000,6.544,0.000,0.000,127025.211,167.869,103188.367,52.960
Helseregion Nord-Norge,2015,30.000,F,89403.234,11.301,74186.922,256.580,267265.375,65.948,139245.766,58.364,75742.953,26.320,0.000,0.000,23382.814,7.807,12944.592,4.015,,,953571.500,248.104,243539.969,241.041,110653.727,78.290
Helseregion Nord-Norge,2015,30.000,M,101637.430,11.953,38348.211,141.082,194749.266,42.372,136904.078,48.885,131350.828,19.675,0.000,0.000,,,40154.531,7.185,7667.996,11.751,,,184149.688,191.714,129654.664,62.181
Helseregion Nord-Norge,2015,35.000,F,70167.305,9.209,65281.828,239.041,311358.906,79.300,186326.375,69.559,200641.031,47.336,0.000,0.000,39749.754,11.263,27423.215,7.230,,,621738.375,162.329,363948.938,280.594,155093.641,93.379
Helseregion Nord-Norge,2015,35.000,M,89643.391,9.651,34731.359,135.954,201467.828,42.899,151331.641,50.648,260309.156,38.814,0.000,0.000,0.000,0.000,95736.641,17.047,14308.000,18.526,0.000,0.000,239445.266,214.779,159834.250,65.441
Helseregion Nord-Norge,2015,40.000,F,61489.973,7.224,81351.039,226.538,422991.094,88.397,309062.312,82.758,449460.188,76.548,0.000,0.000,57134.270,17.743,90082.281,17.743,,,498139.000,99.994,610914.688,329.320,281806.000,114.505
Helseregion Nord-Norge,2015,40.000,M,80751.336,6.811,43997.793,136.843,252552.469,50.196,231164.734,59.217,644779.188,73.270,0.000,0.000,,,270114.250,40.623,24990.996,25.098,,,374882.969,248.527,185642.312,74.067
Helseregion Nord-Norge,2015,45.000,F,42590.090,4.285,98098.469,225.522,490209.531,97.030,439569.156,95.034,895490.312,122.975,,,176421.453,52.712,253193.922,45.081,,,279355.031,52.947,885230.375,376.379,381138.188,137.650
Helseregion Nord-Norge,2015,45.000,M,72160.375,5.601,56070.566,142.632,309368.250,49.647,322487.188,63.023,1353888.250,132.790,0.000,0.000,,,641298.875,84.611,36735.000,33.823,,,569659.438,282.382,262282.562,82.817
Helseregion Nord-Norge,2015,50.000,F,36527.609,3.336,110233.711,238.634,533334.125,105.140,498432.906,104.028,1438716.500,185.446,,,380480.594,133.926,456626.094,81.480,608.000,0.309,76725.195,15.505,874924.750,392.451,456977.188,164.875
Helseregion Nord-Norge,2015,50.000,M,44661.297,3.858,54174.477,146.147,295777.969,51.822,329221.906,69.037,2022163.750,203.490,,,0.000,0.000,996467.938,136.768,48093.000,42.799,0.000,0.000,547889.312,287.962,267754.625,91.416
Helseregion Nord-Norge,2015,55.000,F,18831.973,2.064,110409.250,255.359,510947.125,107.243,579545.438,118.559,1961791.375,253.628,2769.500,0.466,388241.719,195.447,771634.875,140.660,714.000,0.333,4916.048,1.065,810323.125,390.494,548692.438,205.099
Helseregion Nord-Norge,2015,55.000,M,17299.797,2.281,60408.781,158.788,277536.312,53.922,393801.188,78.887,3049178.000,304.588,2773.766,0.570,,,1399847.750,198.010,54024.000,63.870,,,573368.812,314.155,310021.906,103.979
Helseregion Nord-Norge,2015,60.000,F,3309.333,0.620,128220.625,272.896,488704.250,110.384,686543.000,132.833,2676605.750,341.551,9226.795,1.928,266210.625,201.763,1138908.750,215.397,,,,,786126.750,386.517,574961.000,229.652
Helseregion Nord-Norge,2015,60.000,M,8642.333,1.042,69751.203,180.883,264852.344,54.369,553826.688,99.753,4047948.500,407.996,2927.439,0.781,,,1970104.875,279.008,61739.000,79.568,,,579465.250,314.169,343293.250,122.412
Helseregion Nord-Norge,2015,65.000,F,,,152960.344,282.510,488311.062,108.532,970451.375,160.518,3759123.000,456.274,18280.926,4.273,215309.578,194.844,1586912.625,302.948,,,0.000,0.000,787235.125,386.127,626321.812,256.516
Helseregion Nord-Norge,2015,65.000,M,,,84556.492,203.428,246535.328,49.587,753370.875,118.886,5092672.500,518.087,11622.823,3.184,,,2357901.500,360.994,67565.000,97.819,0.000,0.000,542547.188,308.563,340471.344,134.738
Helseregion Nord-Norge,2015,70.000,F,,,147262.500,296.092,347279.125,104.018,810165.688,168.960,4075342.000,585.948,33564.410,9.998,127087.711,161.805,1541519.125,373.326,3090.000,0.550,,,604186.562,383.141,500330.750,273.069
Helseregion Nord-Norge,2015,70.000,M,,,75279.727,215.244,166629.922,48.305,689496.812,133.768,4751696.500,613.377,19513.395,6.344,0.000,0.000,2081883.125,440.729,47539.078,99.329,0.000,0.000,378885.344,290.375,269467.094,143.375
Helseregion Nord-Norge,2015,75.000,F,,,136405.531,334.991,290998.781,128.403,630727.875,174.145,3466101.750,653.076,45180.816,20.012,70181.719,135.985,1198564.750,418.397,,,0.000,0.000,517198.812,426.973,469120.281,329.024
Helseregion Nord-Norge,2015,75.000,M,0.000,0.000,57401.121,232.615,122111.781,56.527,532187.375,151.552,3442315.500,670.056,37670.926,17.080,0.000,0.000,1395633.125,472.008,18999.004,68.049,0.000,0.000,280518.344,321.947,219535.250,181.781
Helseregion Nord-Norge,2015,80.000,F,0.000,0.000,131035.250,351.472,242906.688,141.485,474860.375,162.932,2977165.000,713.028,53691.605,30.570,42977.324,103.713,826100.312,393.566,0.000,0.000,0.000,0.000,433314.031,447.823,450322.750,375.160
Helseregion Nord-Norge,2015,80.000,M,,,46040.246,266.925,88859.078,69.426,376571.062,163.648,2329353.750,723.372,32231.041,27.814,0.000,0.000,744759.875,458.387,7279.144,41.828,0.000,0.000,185683.859,339.155,170629.641,229.840
Helseregion Nord-Norge,2015,85.000,F,0.000,0.000,103120.367,340.498,188031.469,146.627,286514.844,133.433,2242824.500,700.362,41783.719,32.773,36456.422,88.104,413142.906,288.785,0.000,0.000,0.000,0.000,367031.781,458.183,371065.281,396.893
Helseregion Nord-Norge,2015,85.000,M,0.000,0.000,33687.309,300.730,53372.184,83.212,232878.125,168.248,1304703.125,727.737,19544.312,28.102,0.000,0.000,365018.344,393.796,2955.112,13.504,0.000,0.000,119163.969,333.577,128277.773,276.277
Helseregion Nord-Norge,2015,90.000,F,0.000,0.000,73311.242,324.660,87890.289,114.977,121688.930,88.654,1231139.000,606.354,16673.084,20.877,21584.895,65.658,111433.531,125.870,0.000,0.000,0.000,0.000,239087.891,418.759,241213.844,352.799
Helseregion Nord-Norge,2015,90.000,M,0.000,0.000,19179.217,335.559,21411.553,80.134,68215.836,131.886,461676.594,686.144,5366.207,19.199,0.000,0.000,89408.336,244.574,,,0.000,0.000,55888.566,361.436,67398.352,318.865
Helseregion Nord-Norge,2016,,F,733117.812,7.027,1714654.875,235.533,5343237.500,76.653,7104175.500,99.224,25759076.000,189.068,219768.828,3.356,1889465.000,71.335,8438540.000,99.692,9967.064,0.122,10919411.000,131.560,8210056.500,276.487,5428646.000,138.827
Helseregion Nord-Norge,2016,,M,1202101.000,10.744,848187.688,148.014,2851565.000,37.874,5820803.500,81.960,29604814.000,185.966,136311.531,2.050,6966.811,0.102,12833930.000,122.186,431748.250,34.359,961.922,0.037,4994954.500,202.157,3220153.750,78.840
Helseregion Nord-Norge,2016,0.000,F,0.000,0.000,12861.384,169.810,0.000,0.000,72823.805,96.424,724.250,1.423,0.000,0.000,1125.000,1.334,0.000,0.000,,,0.000,0.000,514.172,9.162,1136.183,5.070
Helseregion Nord-Norge,2016,0.000,M,0.000,0.000,13051.233,158.452,0.000,0.000,118684.844,128.344,919.167,1.290,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,618.431,9.548,2910.000,6.022
Helseregion Nord-Norge,2016,5.000,F,12694.300,3.921,14778.167,117.852,0.000,0.000,81525.766,59.333,1333.875,0.962,0.000,0.000,,,0.000,0.000,,,0.000,0.000,831.040,8.360,18018.883,8.138
Helseregion Nord-Norge,2016,5.000,M,49112.816,13.362,11116.599,89.828,,,137474.859,86.540,1936.000,0.770,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,1237.738,8.395,33928.961,10.984
Helseregion Nord-Norge,2016,10.000,F,71318.445,15.349,18782.465,81.047,3157.000,1.186,87552.633,55.984,4434.250,2.299,0.000,0.000,,,,,,,27627.842,10.381,11050.363,32.256,35915.082,13.495
Helseregion Nord-Norge,2016,10.000,M,231567.359,45.978,13730.308,64.229,5921.667,1.474,148057.797,74.968,3754.542,1.965,0.000,0.000,0.000,0.000,988.667,0.351,0.000,0.000,0.000,0.000,7091.286,19.163,90898.266,19.374
Helseregion Nord-Norge,2016,15.000,F,92666.570,19.742,83512.008,243.688,113803.523,30.553,147749.516,70.038,11542.460,6.648,0.000,0.000,7007.999,2.216,3919.857,0.873,,,3029133.500,492.009,68991.586,132.823,71288.281,39.686
Helseregion Nord-Norge,2016,15.000,M,201123.609,34.631,60693.012,132.087,34316.566,9.623,135944.062,54.428,6155.208,3.249,0.000,0.000,,,2281.000,0.736,78.000,0.552,0.000,0.000,34312.477,65.523,63917.656,23.537
Helseregion Nord-Norge,2016,20.000,F,74393.312,14.183,100926.875,304.434,257329.188,58.459,162244.109,67.340,25366.750,12.075,0.000,0.000,7579.442,2.939,6292.547,1.661,0.000,0.000,3359632.000,594.493,138497.391,201.316,81827.508,63.698
Helseregion Nord-Norge,2016,20.000,M,114086.703,15.400,59642.449,155.463,117179.406,25.573,148579.453,44.514,24944.158,6.126,0.000,0.000,1680.316,0.281,4993.667,1.012,1267.000,3.766,,,88678.141,127.248,76116.969,38.894
Helseregion Nord-Norge,2016,25.000,F,115462.141,17.087,81989.734,263.560,304079.188,68.479,139021.969,59.482,58539.500,18.770,0.000,0.000,16210.843,4.984,7918.667,2.136,,,1957273.875,398.770,194333.500,221.489,94039.172,70.939
Helseregion Nord-Norge,2016,25.000,M,105232.961,13.881,47158.535,137.332,192242.891,40.339,140743.328,49.000,62570.719,10.026,,,,,17649.316,3.559,5246.000,7.593,,,141762.578,162.840,109529.141,52.678
Helseregion Nord-Norge,2016,30.000,F,88110.125,11.499,69546.031,246.288,282573.594,70.961,155152.031,64.920,82799.172,26.274,0.000,0.000,24277.945,7.860,12841.500,3.493,0.000,0.000,1009517.812,246.725,263720.469,249.563,128394.711,81.805
Helseregion Nord-Norge,2016,30.000,M,115353.258,12.288,36749.172,135.165,195041.500,44.262,148129.672,51.001,126317.633,18.432,0.000,0.000,,,41158.355,7.729,9367.000,12.288,0.000,0.000,192430.859,195.085,129314.172,62.628
Helseregion Nord-Norge,2016,35.000,F,78878.672,10.530,65021.785,228.369,305663.438,80.497,187149.859,71.036,201770.172,48.909,0.000,0.000,45984.812,13.353,31513.357,7.325,,,648684.312,162.139,359919.344,282.237,158094.719,91.485
Helseregion Nord-Norge,2016,35.000,M,116665.961,10.647,37849.453,132.637,194226.859,44.398,154838.328,52.818,245464.203,36.465,,,0.000,0.000,74731.141,15.658,15647.000,21.086,,,260168.172,215.240,166777.828,67.363
Helseregion Nord-Norge,2016,40.000,F,74996.656,8.564,75105.875,216.417,407368.062,88.609,302083.594,83.734,437447.312,76.224,0.000,0.000,63060.086,18.644,88587.188,18.183,,,487330.312,101.785,616112.625,331.181,260721.656,115.686
Helseregion Nord-Norge,2016,40.000,M,82981.102,7.911,39344.484,130.628,254654.953,51.068,229132.719,61.294,611512.125,76.409,0.000,0.000,,,258525.609,41.806,27491.992,29.136,,,360702.562,246.848,187836.641,76.216
Helseregion Nord-Norge,2016,45.000,F,53632.234,4.865,98786.719,220.783,507166.031,100.105,473834.438,100.867,917872.250,123.725,,,174175.438,53.100,240560.734,42.199,,,309277.281,55.972,904127.688,376.861,365529.062,134.978
Helseregion Nord-Norge,2016,45.000,M,86154.555,6.124,52996.551,136.483,318568.719,51.455,336966.125,66.328,1399724.625,131.343,,,0.000,0.000,614400.750,81.748,40640.996,37.128,0.000,0.000,558465.312,280.621,248281.953,82.513
Helseregion Nord-Norge,2016,50.000,F,42786.672,4.024,104257.648,223.401,513983.281,106.030,510242.438,100.665,1442743.750,183.586,,,390835.344,135.662,468423.438,80.727,,,83894.703,16.584,937302.312,399.061,454995.188,164.380
Helseregion Nord-Norge,2016,50.000,M,59015.984,4.243,53752.133,134.213,305265.125,52.662,352772.562,73.762,2142032.250,212.625,,,,,1001206.938,135.143,53205.555,50.977,,,589360.250,295.106,269998.562,93.409
Helseregion Nord-Norge,2016,55.000,F,19849.338,2.348,107580.547,238.849,492478.469,106.110,599253.000,119.592,1958784.875,257.764,2463.219,0.470,371865.000,191.562,716244.875,140.050,,,6703.329,1.744,839054.500,394.191,520029.812,193.440
Helseregion Nord-Norge,2016,55.000,M,31701.730,3.312,59588.461,153.885,278379.312,53.822,409743.094,82.166,3023602.750,301.783,2843.439,0.510,,,1390246.125,197.707,58979.000,66.051,,,586851.562,313.758,302706.562,104.140
Helseregion Nord-Norge,2016,60.000,F,4700.000,0.874,128993.062,256.100,510958.781,107.683,742736.750,134.570,2702234.500,337.770,9788.082,1.949,280605.281,205.216,1113604.750,208.644,,,,,831977.562,388.452,595100.312,222.357
Helseregion Nord-Norge,2016,60.000,M,6495.600,1.091,64752.969,171.416,254831.891,51.791,598916.500,101.784,4173611.500,412.977,4739.188,1.027,,,2004748.875,276.986,65820.000,82.531,0.000,0.000,568428.562,309.781,331784.375,118.213
Helseregion Nord-Norge,2016,65.000,F,,,140307.250,265.826,475871.000,108.793,913594.875,156.309,3607929.000,452.267,18398.266,4.056,196780.250,194.263,1506177.125,292.916,,,0.000,0.000,780971.250,379.545,599722.438,257.062
Helseregion Nord-Norge,2016,65.000,M,,,73447.727,184.236,236336.453,50.994,749854.688,120.014,4939892.500,510.418,12845.806,2.879,,,2387747.500,359.493,68925.000,99.109,0.000,0.000,549782.750,304.387,328186.312,133.585
Helseregion Nord-Norge,2016,70.000,F,,,158566.312,287.163,380004.438,106.887,944378.125,176.100,4325785.500,573.900,40841.809,11.677,135545.219,169.536,1628927.750,363.706,,,0.000,0.000,663484.750,387.146,556509.375,269.860
Helseregion Nord-Norge,2016,70.000,M,,,76589.672,205.493,167913.531,47.813,742725.000,136.317,5077828.000,611.733,17884.361,6.189,,,2232481.750,439.047,52773.996,99.780,0.000,0.000,410025.656,296.033,289638.562,146.236
Helseregion Nord-Norge,2016,75.000,F,0.000,0.000,137027.516,317.449,283034.375,128.788,668392.125,177.664,3477913.750,651.149,45977.574,19.673,76121.734,143.451,1219673.125,412.390,2009.064,0.611,0.000,0.000,531946.688,431.574,453036.594,326.002
Helseregion Nord-Norge,2016,75.000,M,0.000,0.000,54087.742,225.039,136549.547,60.842,575248.312,159.646,3593529.750,670.697,33954.477,15.991,0.000,0.000,1505246.500,478.289,21676.916,68.903,0.000,0.000,278886.000,306.552,211640.078,174.077
Helseregion Nord-Norge,2016,80.000,F,,,131435.859,339.532,235829.656,142.514,472417.406,163.674,3035092.750,712.248,45061.832,26.932,41744.395,112.215,844585.250,389.869,,,0.000,0.000,450177.062,451.587,433368.656,372.074
Helseregion Nord-Norge,2016,80.000,M,0.000,0.000,45960.895,257.862,86442.922,64.151,378438.000,162.893,2377294.500,718.449,38166.844,28.302,0.000,0.000,814268.875,455.556,8240.000,44.864,,,190281.359,323.061,178959.672,222.432
Helseregion Nord-Norge,2016,85.000,F,0.000,0.000,108595.227,335.034,174963.375,141.369,299624.188,141.794,2208077.750,703.019,36180.250,32.526,34045.824,85.247,438578.656,298.682,0.000,0.000,0.000,0.000,368397.688,454.294,357298.281,385.842
Helseregion Nord-Norge,2016,85.000,M,0.000,0.000,29940.979,281.996,54991.902,81.706,240485.859,164.497,1309250.375,724.150,18757.545,28.923,0.000,0.000,388575.188,404.917,2099.804,17.354,0.000,0.000,116188.031,344.179,128655.625,275.850
