drug,,,,ADHD-midler,ADHD-midler,Antibiotika,Antibiotika,Antidepressiva,Antidepressiva,Astma- og KOLS-midler,Astma- og KOLS-midler,Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Demensmidler,Demensmidler,Hormontilskudd ved overgangsalder,Hormontilskudd ved overgangsalder,Kolesterolsenkende midler,Kolesterolsenkende midler,Potensmidler,Potensmidler,Prevensjonsmidler unntatt spiraler og vaginalringer,Prevensjonsmidler unntatt spiraler og vaginalringer,Smertestillende midler,Smertestillende midler,Sovemidler og beroligende midler,Sovemidler og beroligende midler
,,,,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000
geography,year,age,gender,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,2004,75.000,F,1960.667,0.086,920192.062,331.444,3167879.250,146.123,4940245.500,128.490,29090624.000,573.399,510827.906,22.723,1436265.250,108.891,6488884.000,271.047,0.000,0.000,,,5535759.500,430.437,6440624.500,411.772
Hele landet,2004,75.000,M,5850.000,0.178,493534.531,277.063,1281945.125,80.375,4626845.500,142.610,24430694.000,587.918,339138.875,18.882,318.000,0.081,5722019.500,303.279,86440.867,52.512,,,2484913.000,323.130,2842670.750,245.938
Hele landet,2004,80.000,F,1533.000,0.079,966550.875,335.017,2965062.750,152.710,3498209.500,106.286,29522658.000,615.406,713578.125,34.897,1172957.375,95.530,4159203.000,196.752,,,1946.946,0.092,5352793.500,435.336,6679445.000,440.753
Hele landet,2004,80.000,M,3186.667,0.255,427106.000,290.288,1038656.875,91.114,3352758.750,135.607,19086548.000,616.958,413402.281,31.528,,,3073736.000,231.021,31291.900,27.058,0.000,0.000,1854367.750,325.882,2642788.500,291.757
Hele landet,2004,85.000,F,,,601471.562,315.764,1598949.750,144.949,1438805.250,73.975,16706367.000,598.882,466905.906,40.615,629485.312,83.216,1140375.125,94.984,,,0.000,0.000,2958958.750,411.569,4043234.750,426.727
Hele landet,2004,85.000,M,1560.000,0.229,234702.125,297.878,481243.375,97.200,1158268.125,110.032,8070505.000,608.542,203186.875,36.524,,,684110.188,117.822,5966.500,10.769,0.000,0.000,835442.875,319.555,1327837.875,316.255
Hele landet,2004,90.000,F,,,301516.469,270.505,572110.000,104.276,398170.625,45.859,6574239.000,491.655,119074.867,20.823,264181.812,65.689,142422.828,22.651,0.000,0.000,0.000,0.000,1245215.000,343.030,1829768.500,354.157
Hele landet,2004,90.000,M,0.000,0.000,98170.789,286.137,142512.234,78.424,274479.062,77.005,2318171.500,516.205,39776.133,18.808,,,79637.164,35.604,426.000,2.011,0.000,0.000,304605.812,299.148,521483.688,306.837
Hele landet,2005,,F,1521734.500,1.853,14052926.000,278.947,53654940.000,77.784,54324116.000,88.340,201511024.000,153.144,2377471.250,3.706,32571960.000,67.523,49293168.000,65.780,9529.333,0.086,83773880.000,126.540,58840856.000,255.219,63001316.000,148.440
Hele landet,2005,,M,4696479.000,5.347,8810992.000,196.818,28063852.000,41.094,45993540.000,78.084,203414880.000,137.729,1440667.500,2.211,49496.238,0.065,65846128.000,77.925,2088762.750,24.495,12995.561,0.052,35556924.000,195.761,36659132.000,79.962
