drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2004,10,F,Vest-Agder,23,3.976,5785,176552.500,9658
ADHD-midler,2004,10,F,Vestfold,32,4.348,7360,227197.703,12432.417
ADHD-midler,2004,10,F,Østfold,55,6.689,8222,344600.094,20709.416
ADHD-midler,2004,10,M,Akershus,403,21.516,18730,2618095.500,149480.031
ADHD-midler,2004,10,M,Aust-Agder,115,30.708,3745,638432.500,38762.383
ADHD-midler,2004,10,M,Buskerud,276,34.142,8084,2551406.500,119902.891
ADHD-midler,2004,10,M,Finnmark,88,32.353,2720,719510.625,34143.125
ADHD-midler,2004,10,M,Hedmark,185,29.543,6262,1656809.500,92304
ADHD-midler,2004,10,M,Hordaland,196,12.034,16287,1366032,74983.914
ADHD-midler,2004,10,M,Møre og Romsdal,225,25.551,8806,1283963.500,72119.742
ADHD-midler,2004,10,M,Nordland,260,29.748,8740,1400883.750,83539.984
ADHD-midler,2004,10,M,Nord-Trøndelag,69,14.471,4768,551096,31187.416
ADHD-midler,2004,10,M,Oppland,122,19.792,6164,873087.562,51996.730
ADHD-midler,2004,10,M,Oslo,324,24,13500,2141897.750,112565
ADHD-midler,2004,10,M,Rogaland,332,21.609,15364,2513983.500,136286.984
ADHD-midler,2004,10,M,Sogn og Fjordane,124,30.482,4068,1020539.500,48423.500
ADHD-midler,2004,10,M,Sør-Trøndelag,173,18.303,9452,1244565.750,62039.434
ADHD-midler,2004,10,M,Telemark,167,29.283,5703,1437292.375,75801.359
ADHD-midler,2004,10,M,Troms,100,17.781,5624,673361.375,33713.918
ADHD-midler,2004,10,M,Vest-Agder,157,25.738,6100,1025950,62252.898
ADHD-midler,2004,10,M,Vestfold,180,23.226,7750,1461814,78161.344
ADHD-midler,2004,10,M,Østfold,220,24.960,8814,1744306.500,100162.672
ADHD-midler,2004,15,F,Akershus,64,4.202,15232,414242.375,20937.746
ADHD-midler,2004,15,F,Aust-Agder,32,9.329,3430,201544.172,9870.833
ADHD-midler,2004,15,F,Buskerud,61,8.347,7308,453861.188,21772.791
ADHD-midler,2004,15,F,Finnmark,14,6.066,2308,97016.234,5218.661
ADHD-midler,2004,15,F,Hedmark,32,5.772,5544,247234.094,14882
ADHD-midler,2004,15,F,Hordaland,37,2.619,14129,216507.594,11733.900
ADHD-midler,2004,15,F,Møre og Romsdal,41,5.155,7954,171198.266,10268.333
ADHD-midler,2004,15,F,Nordland,47,6.196,7586,275894.906,13617.815
ADHD-midler,2004,15,F,Nord-Trøndelag,12,2.802,4282,70609.203,4009.333
ADHD-midler,2004,15,F,Oppland,15,2.830,5300,99593.125,6216.327
ADHD-midler,2004,15,F,Oslo,66,5.438,12136,371500.562,20708.959
ADHD-midler,2004,15,F,Rogaland,42,3.167,13260,226605.625,12558.994
ADHD-midler,2004,15,F,Sogn og Fjordane,11,3.047,3610,29549.100,1902.833
ADHD-midler,2004,15,F,Sør-Trøndelag,32,3.831,8353,140672.203,9455.917
ADHD-midler,2004,15,F,Telemark,30,5.744,5223,226189.500,11850
ADHD-midler,2004,15,F,Troms,19,4.039,4704,100121.602,5131.667
ADHD-midler,2004,15,F,Vest-Agder,31,5.873,5278,213780.094,12141.667
ADHD-midler,2004,15,F,Vestfold,39,5.484,7112,251818.797,11350.375
ADHD-midler,2004,15,F,Østfold,43,5.680,7570,257276.797,16082.667
ADHD-midler,2004,15,M,Akershus,249,15.341,16231,1895472.625,100722
ADHD-midler,2004,15,M,Aust-Agder,78,21.904,3561,480244.812,25138.084
ADHD-midler,2004,15,M,Buskerud,191,24.792,7704,1656098.250,77308.039
ADHD-midler,2004,15,M,Finnmark,50,20.467,2443,276043,13678
ADHD-midler,2004,15,M,Hedmark,114,19.467,5856,925221.875,52582.918
ADHD-midler,2004,15,M,Hordaland,112,7.476,14982,813498.062,45309.793
ADHD-midler,2004,15,M,Møre og Romsdal,150,17.591,8527,872277.312,47696.207
ADHD-midler,2004,15,M,Nordland,126,15.334,8217,799149.562,42029.918
ADHD-midler,2004,15,M,Nord-Trøndelag,55,12.099,4546,396666.250,21283.334
ADHD-midler,2004,15,M,Oppland,85,14.962,5681,631721.938,37000.836
ADHD-midler,2004,15,M,Oslo,171,13.732,12453,1103524.625,59716.125
ADHD-midler,2004,15,M,Rogaland,163,11.726,13901,1197443.750,61456.543
ADHD-midler,2004,15,M,Sogn og Fjordane,71,18.039,3936,533931.812,23436.232
ADHD-midler,2004,15,M,Sør-Trøndelag,104,12.284,8466,627173.188,35685.582
ADHD-midler,2004,15,M,Telemark,105,19.140,5486,861854.688,45160.418
ADHD-midler,2004,15,M,Troms,48,9.608,4996,291392.312,14549.667
ADHD-midler,2004,15,M,Vest-Agder,105,18.398,5707,620790,38256
