Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2006,5 - 9,Kvinne,Sør-Trøndelag,21,2.423822714681440,8664,89299.328125,4205.46142578125
ADHD-midler,2006,5 - 9,Kvinne,Telemark,19,3.835284618490109,4954,115273.7421875,5064.375
ADHD-midler,2006,5 - 9,Kvinne,Troms,18,3.726708074534161,4830,75807.8984375,4392.10400390625
ADHD-midler,2006,5 - 9,Kvinne,Vest-Agder,9,1.647446457990115,5463,48788.19921875,2811.06665039063
ADHD-midler,2006,5 - 9,Kvinne,Vestfold,25,3.594019551466360,6956,162297.09375,8097.00830078125
ADHD-midler,2006,5 - 9,Kvinne,Østfold,23,2.873563218390805,8004,134378,8880.3544921875
ADHD-midler,2006,5 - 9,Mann,Akershus,139,7.535509053453323,18446,821525.625,40548.7734375
ADHD-midler,2006,5 - 9,Mann,Aust-Agder,60,16.574585635359116,3620,299137.78125,15247.5244140625
ADHD-midler,2006,5 - 9,Mann,Buskerud,110,13.688402190144350,8036,694009.125,34098.12109375
ADHD-midler,2006,5 - 9,Mann,Finnmark,26,10.232192050373869,2541,172710.40625,7563.7001953125
ADHD-midler,2006,5 - 9,Mann,Hedmark,93,16.292922214435879,5708,483784.9375,32196.1171875
ADHD-midler,2006,5 - 9,Mann,Hordaland,105,6.817739107850140,15401,792803.875,30801.078125
ADHD-midler,2006,5 - 9,Mann,Møre og Romsdal,98,11.830033800096572,8284,718000.6875,28703.546875
ADHD-midler,2006,5 - 9,Mann,Nordland,109,14.233481326717159,7658,647300.875,37217.65234375
ADHD-midler,2006,5 - 9,Mann,Nord-Trøndelag,49,10.913140311804009,4490,372629.5,18272.1328125
ADHD-midler,2006,5 - 9,Mann,Oppland,56,9.918526390364860,5646,308978.21875,21427.32421875
ADHD-midler,2006,5 - 9,Mann,Oslo,123,8.201640328065613,14997,781242.8125,34094.15625
ADHD-midler,2006,5 - 9,Mann,Rogaland,202,13.503576442275553,14959,1275091.75,59227.3671875
ADHD-midler,2006,5 - 9,Mann,Sogn og Fjordane,48,12.882447665056361,3726,284797.8125,13893.345703125
ADHD-midler,2006,5 - 9,Mann,Sør-Trøndelag,67,7.269176521644787,9217,560274.9375,31261.3671875
ADHD-midler,2006,5 - 9,Mann,Telemark,82,16.141732283464567,5080,477110.6875,27024.673828125
ADHD-midler,2006,5 - 9,Mann,Troms,46,8.812260536398467,5220,219781.03125,14008.2353515625
ADHD-midler,2006,5 - 9,Mann,Vest-Agder,54,9.419152276295133,5733,286899.03125,17750.25
ADHD-midler,2006,5 - 9,Mann,Vestfold,87,12.128816394813885,7173,582504.8125,29775.544921875
ADHD-midler,2006,5 - 9,Mann,Østfold,84,9.887005649717514,8496,445642.125,32778.78125
ADHD-midler,2006,10 - 14,Kvinne,Akershus,136,7.576601671309192,17950,872070.625,48642.171875
ADHD-midler,2006,10 - 14,Kvinne,Aust-Agder,59,16.582349634626194,3558,315987.46875,16217.4619140625
ADHD-midler,2006,10 - 14,Kvinne,Buskerud,93,11.845624761176920,7851,731022.125,33021.66015625
ADHD-midler,2006,10 - 14,Kvinne,Finnmark,24,9.592326139088729,2502,157196.546875,7752.08349609375
ADHD-midler,2006,10 - 14,Kvinne,Hedmark,64,10.803511141120864,5924,517577.46875,23872.99609375
ADHD-midler,2006,10 - 14,Kvinne,Hordaland,71,4.634464751958225,15320,493697.125,24214.55078125
